Ticker;Fecha;Price
ACS;15/10/2021 17:36;22.73
ACS;22/10/2021 17:36;23.06
ACS;29/10/2021 17:36;22.63
ACS;05/11/2021 17:36;23.31
ACS;12/11/2021 17:36;23.18
ACS;19/11/2021 17:36;21.73
ACS;26/11/2021 17:36;21.02
ACS;03/12/2021 17:36;21.35
ACS;10/12/2021 17:36;21.44
ACS;17/12/2021 17:36;21.75
ACS;23/12/2021 17:36;22.99
ACS;30/12/2021 17:36;23.57
ACS;07/01/2022 17:36;23.73
ACS;14/01/2022 17:36;23.99
ACS;21/01/2022 17:36;23.11
ACS;28/01/2022 17:36;22.25
ACS;04/02/2022 17:36;22.41
ACS;11/02/2022 17:36;22.6
ACS;18/02/2022 17:36;22.32
ACS;25/02/2022 17:36;21.84
ACS;04/03/2022 17:36;21.27
ACS;11/03/2022 17:36;23.34
ACS;18/03/2022 17:36;24.1
ACS;25/03/2022 17:36;24.62
ACS;01/04/2022 17:36;24.59
ACS;08/04/2022 17:36;24.07
ACS;14/04/2022 17:36;24.91
ACS;22/04/2022 17:36;24.56
ACS;29/04/2022 17:36;24.59
ACS;06/05/2022 17:36;24.22
ACS;13/05/2022 17:36;24.31
ACS;20/05/2022 17:36;25.43
ACS;27/05/2022 17:36;26.6
ACS;03/06/2022 17:36;26.53
ACS;10/06/2022 17:36;25.32
ACS;17/06/2022 17:36;24.49
ACS;24/06/2022 17:36;23.8
ACS;01/07/2022 17:36;21.59
ACS;08/07/2022 17:36;21.69
ACS;15/07/2022 17:36;21.61
ACS;22/07/2022 17:36;22.22
ACS;29/07/2022 17:36;23.41
ACS;05/08/2022 17:36;23.14
ACS;12/08/2022 17:36;23.98
ACS;19/08/2022 17:36;23.88
ACS;26/08/2022 17:36;22.42
ACS;02/09/2022 17:36;22.62
ACS;09/09/2022 17:36;23.01
ACS;16/09/2022 17:36;22.92
ACS;23/09/2022 17:36;22.13
ACS;30/09/2022 17:36;23.13
ACX;15/10/2021 17:36;12.15
ACX;22/10/2021 17:36;11.59
ACX;29/10/2021 17:36;12.04
ACX;05/11/2021 17:36;11.22
ACX;12/11/2021 17:36;11.06
ACX;19/11/2021 17:36;10.45
ACX;26/11/2021 17:36;10.11
ACX;03/12/2021 17:36;9.86
ACX;10/12/2021 17:36;10.26
ACX;17/12/2021 17:36;10.9
ACX;23/12/2021 17:36;11.18
ACX;30/12/2021 17:36;11.39
ACX;07/01/2022 17:36;12.01
ACX;14/01/2022 17:36;12.68
ACX;21/01/2022 17:36;12.02
ACX;28/01/2022 17:36;11.04
ACX;04/02/2022 17:36;11.41
ACX;11/02/2022 17:36;11.65
ACX;18/02/2022 17:36;11.51
ACX;25/02/2022 17:36;11.37
ACX;04/03/2022 17:36;10.31
ACX;11/03/2022 17:36;9.43
ACX;18/03/2022 17:36;9.98
ACX;25/03/2022 17:36;10.32
ACX;01/04/2022 17:36;10.15
ACX;08/04/2022 17:36;9.44
ACX;14/04/2022 17:36;9.98
ACX;22/04/2022 17:36;9.92
ACX;29/04/2022 17:36;10.09
ACX;06/05/2022 17:36;9.99
ACX;13/05/2022 17:36;10.44
ACX;20/05/2022 17:36;10.65
ACX;27/05/2022 17:36;12
ACX;03/06/2022 17:36;11.81
ACX;10/06/2022 17:36;11.29
ACX;17/06/2022 17:36;10.1
ACX;24/06/2022 17:36;9.68
ACX;01/07/2022 17:36;8.72
ACX;08/07/2022 17:36;8.63
ACX;15/07/2022 17:36;8.42
ACX;22/07/2022 17:36;8.9
ACX;29/07/2022 17:36;9.5
ACX;05/08/2022 17:36;9.36
ACX;12/08/2022 17:36;9.59
ACX;19/08/2022 17:36;9.3
ACX;26/08/2022 17:36;9.16
ACX;02/09/2022 17:36;9.03
ACX;09/09/2022 17:36;8.94
ACX;16/09/2022 17:36;8.62
ACX;23/09/2022 17:36;8.29
ACX;30/09/2022 17:36;8.2
AENA;15/10/2021 17:36;145.55
AENA;22/10/2021 17:36;141.95
AENA;29/10/2021 17:36;141.65
AENA;05/11/2021 17:36;151.25
AENA;12/11/2021 17:36;146.95
AENA;19/11/2021 17:36;136.6
AENA;26/11/2021 17:36;128.45
AENA;03/12/2021 17:36;130.35
AENA;10/12/2021 17:36;129.85
AENA;17/12/2021 17:36;132.85
AENA;23/12/2021 17:36;136.85
AENA;30/12/2021 17:36;138.8
AENA;07/01/2022 17:36;144.4
AENA;14/01/2022 17:36;149
AENA;21/01/2022 17:36;147.85
AENA;28/01/2022 17:36;143.75
AENA;04/02/2022 17:36;143.7
AENA;11/02/2022 17:36;153.45
AENA;18/02/2022 17:36;149.55
AENA;25/02/2022 17:36;146.3
AENA;04/03/2022 17:36;131.4
AENA;11/03/2022 17:36;133.7
AENA;18/03/2022 17:36;150
AENA;25/03/2022 17:36;146.95
AENA;01/04/2022 17:36;147.15
AENA;08/04/2022 17:36;145.2
AENA;14/04/2022 17:36;151.65
AENA;22/04/2022 17:36;148.85
AENA;29/04/2022 17:36;136.3
AENA;06/05/2022 17:36;133.15
AENA;13/05/2022 17:36;132.95
AENA;20/05/2022 17:36;135.8
AENA;27/05/2022 17:36;142.75
AENA;03/06/2022 17:36;140.65
AENA;10/06/2022 17:36;138.15
AENA;17/06/2022 17:36;136.8
AENA;24/06/2022 17:36;129.8
AENA;01/07/2022 17:36;123.85
AENA;08/07/2022 17:36;122
AENA;15/07/2022 17:36;122.85
AENA;22/07/2022 17:36;125.5
AENA;29/07/2022 17:36;123
AENA;05/08/2022 17:36;125.2
AENA;12/08/2022 17:36;127.4
AENA;19/08/2022 17:36;126.05
AENA;26/08/2022 17:36;124.4
AENA;02/09/2022 17:36;122.35
AENA;09/09/2022 17:36;120.15
AENA;16/09/2022 17:36;115.1
AENA;23/09/2022 17:36;109
AENA;30/09/2022 17:36;106.9
AMS;15/10/2021 17:36;60.46
AMS;22/10/2021 17:36;55.4
AMS;29/10/2021 17:36;57.84
AMS;05/11/2021 17:36;61.94
AMS;12/11/2021 17:36;62.14
AMS;19/11/2021 17:36;60.2
AMS;26/11/2021 17:36;56.74
AMS;03/12/2021 17:36;56.88
AMS;10/12/2021 17:36;57.56
AMS;17/12/2021 17:36;55.66
AMS;23/12/2021 17:36;58.58
AMS;30/12/2021 17:36;59.64
AMS;07/01/2022 17:36;62.48
AMS;14/01/2022 17:36;62.84
AMS;21/01/2022 17:36;62.3
AMS;28/01/2022 17:36;59.14
AMS;04/02/2022 17:36;61.2
AMS;11/02/2022 17:36;61.24
AMS;18/02/2022 17:36;61.34
AMS;25/02/2022 17:36;59.5
AMS;04/03/2022 17:36;52.88
AMS;11/03/2022 17:36;52.88
AMS;18/03/2022 17:36;56
AMS;25/03/2022 17:36;56.6
AMS;01/04/2022 17:36;58.46
AMS;08/04/2022 17:36;56.54
AMS;14/04/2022 17:36;56.88
AMS;22/04/2022 17:36;59.12
AMS;29/04/2022 17:36;60.4
AMS;06/05/2022 17:36;60
AMS;13/05/2022 17:36;58.74
AMS;20/05/2022 17:36;59.1
AMS;27/05/2022 17:36;60.34
AMS;03/06/2022 17:36;56.56
AMS;10/06/2022 17:36;53.72
AMS;17/06/2022 17:36;52.5
AMS;24/06/2022 17:36;53.26
AMS;01/07/2022 17:36;52.96
AMS;08/07/2022 17:36;53.52
AMS;15/07/2022 17:36;54.68
AMS;22/07/2022 17:36;56
AMS;29/07/2022 17:36;56.68
AMS;05/08/2022 17:36;54.94
AMS;12/08/2022 17:36;56.58
AMS;19/08/2022 17:36;55.98
AMS;26/08/2022 17:36;54.8
AMS;02/09/2022 17:36;51.64
AMS;09/09/2022 17:36;52.16
AMS;16/09/2022 17:36;50.64
AMS;23/09/2022 17:36;46.37
AMS;30/09/2022 17:36;47.91
ANA;15/10/2021 17:36;151.2
ANA;22/10/2021 17:36;161.1
ANA;29/10/2021 17:36;165.8
ANA;05/11/2021 17:36;157
ANA;12/11/2021 17:36;159.5
ANA;19/11/2021 17:36;158.8
ANA;26/11/2021 17:36;159.3
ANA;03/12/2021 17:36;155.2
ANA;10/12/2021 17:36;158.7
ANA;17/12/2021 17:36;158.6
ANA;23/12/2021 17:36;166.7
ANA;30/12/2021 17:36;168.1
ANA;07/01/2022 17:36;164.9
ANA;14/01/2022 17:36;156.8
ANA;21/01/2022 17:36;152.5
ANA;28/01/2022 17:36;153.8
ANA;04/02/2022 17:36;148.9
ANA;11/02/2022 17:36;144
ANA;18/02/2022 17:36;139.6
ANA;25/02/2022 17:36;147.1
ANA;04/03/2022 17:36;139.3
ANA;11/03/2022 17:36;161.3
ANA;18/03/2022 17:36;163.9
